ANMOIS;CIE;CIE_NOM;;CIE_PAYS;CIE_PAX;CIE_FRP;CIE_PEQ
202402;EZS;EASYJET SWITZERLAND;;SUISSE;281449;0;281449
202402;EZY;EASYJET UK;;ROYAUME-UNI;287206;0;287206
202402;FBU;FRENCH BEE;;FRANCE;53470;823;61700
202402;FDX;FEDEX EXPRESS;;ETATS-UNIS;0;42861;428610
202402;FIN;FINNAIR;;FINLANDE;23308;94,7;24255
202402;FPO;ASL AIRLINES FRANCE;;FRANCE;18054;949,4;27548
202402;FWI;AIR CARAIBES;;FRANCE (OM);177957;1018,5;188142
202402;GPX;GP AVIATION LTD.;;BULGARIE;14145;0;14145
202402;HLF;CHINA CENTRAL AIRLINES;;CHINE;0;1324,2;13242
202402;HVN;VIETNAM AIRLINES;;VIETNAM;23575;1141,8;34993
202402;IBE;IBERIA;;ESPAGNE;105302;123,9;106541
202402;IBS;IBERIA EXPRESS;;ESPAGNE;22392;9,5;22487
202402;ICE;ICELANDAIR;;ISLANDE;11970;33,6;12306
202402;ITY;ITALIA TRASPORTO AEREO;;ITALIE;78835;37,6;79211
202402;JAF;TUIFLY BELGIUM;;BELGIQUE;23233;0;23233
202402;JAL;JAPAN AIRLINES;;JAPON;10833;845,6;19289
202402;KAC;KUWAIT AIRWAYS;;KOWEIT;13300;632,8;19628
202402;KAL;KOREAN AIR;;COREE DU SUD;18541;1085;29391
202402;KLC;KLM/CITYHOPPER;;PAYS-BAS;27772;0;27772
202402;KLM;KLM;;PAYS-BAS;146099;74;146839
202402;KQA;KENYA AIRWAYS;;KENYA;13015;524,7;18262
202402;LBT;NOUVELAIR;;TUNISIE;56384;37,1;56755
202402;LGL;LUXAIR;;LUXEMBOURG;11010;0;11010
202402;LOT;LOT POLISH AIRLINES;;POLOGNE;21512;31,3;21825
202402;MAC;AIR ARABIA MAROC;;MAROC;43153;5,7;43210
202402;MAU;AIR MAURITIUS;;MAURICE;28305;964,6;37951
202402;MEA;MIDDLE EAST AIRLINES;;LIBAN;12688;264,1;15329
202402;MNB;MNG AIRLINES;;TURQUIE;0;1174,6;11746
202402;MSR;EGYPT AIR;;EGYPTE;17700;593,6;23636
202402;NOZ;NORWEGIAN AIR SHUTTLE AOC AS;;NORVEGE;11309;0;11309
202402;NSZ;NORWEGIAN AIR SWEDEN AOC;;SUEDE;18287;0;18287
202402;OMA;OMAN AIR;;OMAN;13894;722,2;21116
202402;PGT;PEGASUS;;TURQUIE;77752;40,3;78155
202402;QTR;QATAR AIRWAYS;;QATAR;80426;6204;142466
202402;RAM;ROYAL AIR MAROC;;MAROC;119860;209,1;121951
202402;REU;AIR AUSTRAL;;FRANCE (OM);70997;1262,3;83620
202402;RJA;ROYAL JORDANIAN;;JORDANIE;13832;223,9;16071
202402;ROT;TAROM;;ROUMANIE;10995;7,8;11073
202402;ROU;AIR CANADA ROUGE;;CANADA;14105;4,1;14146
202402;RYR;RYANAIR;;IRLANDE;838294;19,4;838488
202402;SAS;SAS;;SUEDE;36077;23,5;36312
202402;SEH;SKY EXPRESS;;GRECE;10396;1,7;10413
202402;SIA;SINGAPORE AIRLINES;;SINGAPOUR;20879;1346,1;34340
202402;SRR;STAR AIR DANEMARK;;DANEMARK;0;4295,3;42953
202402;SVA;SAUDIA;;ARABIE SAOUDITE;31166;1316,1;44327
